,Betas
AA,1.7192118698998007
ABT,0.5119868743762298
AEP,0.45469617381573596
AES,1.3190038903136954
AIG,2.809155749259552
ALL,1.3337010413937846
AMGN,0.5874204973789764
ATI,1.8267281408047662
AVP,1.4642785430923584
AXP,1.6275790797740408
BA,1.1730699832606035
BAC,1.9697775877496557
BAX,0.548678209883268
BDK,1.7097222393637892
BMY,0.6105303594215552
C,2.222046240149477
CAT,1.6251444357446059
CBS,2.069212085675235
CI,1.2456993482245917
CL,0.49524909533213785
CMCSA,1.0547042214702878
CPB,0.32780667427831717
CSCO,1.218840330914503
CZR,0.7626490132193972
DIS,1.203454952546205
EP,1.2941990813139268
ETR,0.48972721086526894
EXC,0.44786326330914417
F,2.036237868653646
FDX,1.2028854483030194
GD,1.1147223344618837
GE,1.4290340138599082
GM,1.5212012486721904
GS,1.426381690470584
HAL,1.423905651968311
HCA,1.1570184580191363
HD,0.8552112949574495
HIG,2.5157642294284748
HON,1.2661526903897389
HPQ,1.1932026183559636
IBM,0.7047354133680453
INTC,1.0409913610074035
IP,1.9313291030012747
JNJ,0.5755655885060433
JPM,1.2564710830352048
KHC,0.6491049762201574
KO,0.5483641513687755
KODK,0.8372965604565061
LB,1.2794438233243288
LU,2.399361991113967
MCD,0.4743569966925634
MDT,0.8976539931187473
MMM,0.8968215659005507
MO,0.4866753535508844
MRK,0.6754846593583973
MS,1.5590692990136228
MSFT,0.989809437094518
NSC,1.0922343728486978
ORCL,1.0947678258341655
PEP,0.5031687861441565
PFE,0.7190557792454556
PG,0.470734437642053
ROK,1.5541573044215302
RTN,0.6937080530833482
S,0.5246126547220971
SLB,1.2486362790080825
SO,0.23764313431105918
T,0.5297232722551211
TGT,0.8124215938663424
TWX,1.2170743243546869
TXN,1.1189577528296037
UIS,3.192586907402421
USB,0.9128845957269096
UTX,1.017750586429458
VZ,0.5128395294281868
WFC,1.165136786444704
WMB,1.3140303697650118
WMT,0.2855802802627377
WY,1.405801066707927
XOM,0.5536734885305236
XRX,1.4690813180697113
